domain,seed,system,latency,throughput,energy,posture,switches
TRAFFIC,19,PoA,0.19386562914572264,0.664256363924593,0.9299999999999998,0.7048377570061257,0
TRAFFIC,19,DPoS,0.15008951933862397,0.6859168975308296,0.8599999999999999,0.7758823937962375,0
TRAFFIC,20,CDACF,0.1861510545970022,0.6374007902489502,0.7975399999999999,0.8198545947633477,12
TRAFFIC,20,PoW,0.302660731823427,0.3245217849844341,0.08,0.7664560236832155,0
TRAFFIC,20,PoS,0.20219290118750274,0.5769276177501051,0.8800000000000002,0.7630524692940249,0
TRAFFIC,20,PBFT,0.1769187885390649,0.6490435699688683,0.6999999999999998,0.8868119933994315,0
TRAFFIC,20,PoA,0.19587437302539332,0.663466760412621,0.9299999999999998,0.7046609119795508,0
TRAFFIC,20,DPoS,0.15164467589062708,0.6851015460782498,0.8599999999999999,0.7758332089763844,0
TRAFFIC,21,CDACF,0.18482831332421665,0.6417187212419153,0.77682,0.8553243059307942,10
TRAFFIC,21,PoW,0.30317588697693604,0.3242422726479378,0.08,0.7665312684872337,0
TRAFFIC,21,PoS,0.20304793370762328,0.5764307069296671,0.8800000000000002,0.7629826668124433,0
TRAFFIC,21,PBFT,0.17766694199417035,0.6484845452958756,0.6999999999999998,0.8868342048737486,0
TRAFFIC,21,PoA,0.19670268577926003,0.6628953129691172,0.9299999999999998,0.7047363439550284,0
TRAFFIC,21,DPoS,0.15228595028071742,0.6845114644789798,0.8599999999999999,0.7756538910945049,0
TRAFFIC,22,CDACF,0.18379275033149567,0.6378281462764767,0.7955,0.8195638949650916,13
TRAFFIC,22,PoW,0.30094472064519234,0.3247112352826157,0.08,0.7659581203256212,0
TRAFFIC,22,PoS,0.19990513970918364,0.5772644182802057,0.8800000000000002,0.7626092554061754,0
TRAFFIC,22,PBFT,0.17491699724553567,0.6494224705652314,0.6999999999999998,0.8863262219935657,0
TRAFFIC,22,PoA,0.1936581040932716,0.6638540810222366,0.9299999999999998,0.704225321639102,0
TRAFFIC,22,DPoS,0.14992885478188772,0.6855014967077442,0.8599999999999999,0.7752750949962403,0
TRAFFIC,23,CDACF,0.18318362062391674,0.6425560716747668,0.78606,0.8493336937364508,13
TRAFFIC,23,PoW,0.30120746160827366,0.32472681128710745,0.08,0.7665440063962924,0
TRAFFIC,23,PoS,0.20032590009928494,0.5772921089548577,0.8800000000000002,0.7632059412518445,0
TRAFFIC,23,PBFT,0.1752851625868743,0.6494536225742149,0.6999999999999998,0.8865533817644605,0
TRAFFIC,23,PoA,0.19406571572118228,0.6638859252980862,0.9299999999999998,0.7047064262508973,0
TRAFFIC,23,DPoS,0.15024442507446367,0.6855343793838935,0.8599999999999999,0.7757815682389553,0
TRAFFIC,24,CDACF,0.18126594916195074,0.6439599820480378,0.77966,0.8544387683650527,12
TRAFFIC,24,PoW,0.2991163614948148,0.3249850884097436,0.08,0.7663578041533978,0
TRAFFIC,24,PoS,0.19947945091814812,0.5777512682839886,0.8800000000000002,0.762681457455667,0
TRAFFIC,24,PBFT,0.17454451955337955,0.6499701768194872,0.6999999999999998,0.8864444469148403,0
TRAFFIC,24,PoA,0.19324571807695595,0.6644139585265868,0.9299999999999998,0.7046142245580003,0
TRAFFIC,24,DPoS,0.14960958818861103,0.6860796310872364,0.8599999999999999,0.7753216181077878,0
TRAFFIC,25,CDACF,0.18954063253769077,0.6365253238982821,0.7995999999999999,0.8163747112518729,14
TRAFFIC,25,PoW,0.3074752683244915,0.3241105444348808,0.08,0.76632317841408,0
TRAFFIC,25,PoS,0.2055919960569848,0.576196523439788,0.8800000000000002,0.762906566194406,0
TRAFFIC,25,PBFT,0.17989299654986168,0.6482210888697616,0.6999999999999998,0.886565054391159,0
TRAFFIC,25,PoA,0.19916724618020404,0.6626260019557563,0.9299999999999998,0.70446187355549,0
TRAFFIC,25,DPoS,0.1541939970427386,0.6842333715847483,0.8599999999999999,0.7754849560122953,0
TRAFFIC,26,CDACF,0.1815424569266411,0.6421282525197869,0.77716,0.8530702328779005,11
TRAFFIC,26,PoW,0.30056928356686763,0.3244097856527122,0.08,0.765830652722685,0
TRAFFIC,26,PoS,0.19986614573039743,0.5767285078270439,0.8800000000000002,0.7624508772687941,0
TRAFFIC,26,PBFT,0.17488287751409767,0.6488195713054244,0.6999999999999998,0.8862687190937777,0
TRAFFIC,26,PoA,0.19362032867632245,0.6632377840011004,0.9299999999999998,0.7040588518305103,0
TRAFFIC,26,DPoS,0.14989960929779803,0.6848651030446147,0.8599999999999999,0.7753160680463874,0
TRAFFIC,27,CDACF,0.18136613667453116,0.6426808144109892,0.7773199999999999,0.8531704048035398,11
TRAFFIC,27,PoW,0.3009764670406574,0.3247233483327241,0.08,0.7662808580759363,0
TRAFFIC,27,PoS,0.19956144237679008,0.5772859525915095,0.8800000000000002,0.7627850034264755,0
TRAFFIC,27,PBFT,0.1746162620796913,0.6494466966654482,0.6999999999999998,0.8866001467611191,0
TRAFFIC,27,PoA,0.1933251473025154,0.6638788454802359,0.9299999999999998,0.7045034499023852,0
TRAFFIC,27,DPoS,0.14967108178259256,0.6855270687024174,0.8599999999999999,0.7754410018599646,0
TRAFFIC,28,CDACF,0.18198073209318905,0.6369286210611063,0.7951600000000001,0.8197213333365656,13
TRAFFIC,28,PoW,0.2991756916169541,0.3236252586005218,0.08,0.7665152799590964,0
TRAFFIC,28,PoS,0.1986788658315322,0.5753337930675944,0.8800000000000002,0.7630168496137394,0
TRAFFIC,28,PBFT,0.17384400760259064,0.6472505172010437,0.6999999999999998,0.8870103893046922,0
TRAFFIC,28,PoA,0.1924701512742968,0.6616338620277334,0.9299999999999998,0.7046452033365656,0
TRAFFIC,28,DPoS,0.14900914937364915,0.6832088792677682,0.8599999999999999,0.7757925145657583,0
TRAFFIC,29,CDACF,0.1806503820758824,0.6435042498751099,0.7808599999999999,0.8528669167132464,13
TRAFFIC,29,PoW,0.3021284056960587,0.32435077108655014,0.08,0.7656613287977048,0
TRAFFIC,29,PoS,0.19957304594748018,0.5766235930427558,0.8800000000000002,0.7621553109600212,0
TRAFFIC,29,PBFT,0.17462641520404515,0.6487015421731003,0.6999999999999998,0.88596055887339,0
TRAFFIC,29,PoA,0.19333638826162142,0.663117131999169,0.9299999999999998,0.7039720844151042,0
TRAFFIC,29,DPoS,0.14967978446061012,0.6847405167382724,0.8599999999999999,0.7747658825621699,0
TRAFFIC,30,CDACF,0.18348927240016707,0.6378737437112493,0.79748,0.818228110730908,12
TRAFFIC,30,PoW,0.2990031081593523,0.32457638123876514,0.08,0.766078699984741,0
TRAFFIC,30,PoS,0.19924785972259842,0.5770246777578047,0.8800000000000002,0.7626209451397015,0
TRAFFIC,30,PBFT,0.1743418772572736,0.6491527624775303,0.6999999999999998,0.8861217660184668,0
TRAFFIC,30,PoA,0.19302136410626722,0.6635783794214755,0.9299999999999998,0.7043347607309078,0
TRAFFIC,30,DPoS,0.14943589479194885,0.685216804837393,0.8599999999999999,0.7751882168489953,0
TRAFFIC,31,CDACF,0.18167190516870252,0.6425956256274039,0.7760799999999999,0.8543763660027173,11
TRAFFIC,31,PoW,0.29953403589080435,0.3244634134881901,0.08,0.766450179177528,0
TRAFFIC,31,PoS,0.2002242121062513,0.5768238462012268,0.8800000000000002,0.763098778534458,0
TRAFFIC,31,PBFT,0.1752604659680365,0.6489268269763802,0.6999999999999998,0.8866731698885836,0
TRAFFIC,31,PoA,0.19399845547793096,0.6633474231314109,0.9299999999999998,0.7045993781079717,0
TRAFFIC,31,DPoS,0.1502232565440313,0.6849783173639569,0.8599999999999999,0.7757325419938379,0
TRAFFIC,32,CDACF,0.1821289439363195,0.642493702962005,0.77884,0.853826679381172,12
TRAFFIC,32,PoW,0.30257397885738374,0.3241791173452921,0.08,0.7659154330050947,0
TRAFFIC,32,PoS,0.20105447148140201,0.576318430836075,0.8800000000000002,0.7626213558050724,0
TRAFFIC,32,PBFT,0.17592266254622674,0.6483582346905842,0.6999999999999998,0.8861723145367955,0
TRAFFIC,32,PoA,0.1947715192476082,0.6627661954614862,0.9299999999999998,0.7041917363538858,0
TRAFFIC,32,DPoS,0.1507908536110515,0.6843781366178389,0.8599999999999999,0.7754374586484002,0
TRAFFIC,33,CDACF,0.1792023023514795,0.6446054119214505,0.7808399999999999,0.8548038277327992,11
TRAFFIC,33,PoW,0.2980977332425008,0.3247891988270342,0.08,0.7661980844769305,0
TRAFFIC,33,PoS,0.19794168912925494,0.5774030201369499,0.8800000000000002,0.7627239702805497,0
TRAFFIC,33,PBFT,0.17320338129921983,0.6495783976540684,0.6999999999999998,0.886613221937667,0
TRAFFIC,33,PoA,0.19176088643842198,0.6640134731574922,0.9299999999999998,0.7044558048437449,0
TRAFFIC,33,DPoS,0.148460041113617,0.6856660864126278,0.8599999999999999,0.775293059048613,0
TRAFFIC,34,CDACF,0.1814320639029459,0.6425398854780259,0.7765,0.8548439497450556,10
TRAFFIC,34,PoW,0.3000429802507057,0.3247570875584538,0.08,0.7662544546671013,0
TRAFFIC,34,PoS,0.19942179493734113,0.5773459334372513,0.8800000000000002,0.7625998340821555,0
TRAFFIC,34,PBFT,0.17452114924253362,0.6495141751169076,0.6999999999999998,0.8860292612814069,0
TRAFFIC,34,PoA,0.19321984380423365,0.663947823452839,0.9299999999999998,0.704501391565871,0
TRAFFIC,34,DPoS,0.14958955649360023,0.6855982959567358,0.8599999999999999,0.7750726931022224,0
ENVIRONMENTAL,5,CDACF,0.8719416822361838,0.6816562979163303,0.8774799999999999,0.7380263633140298,1
ENVIRONMENTAL,5,PoW,0.9994806014451943,0.3826969315081477,0.08,0.7672568809014426,0
ENVIRONMENTAL,5,PoS,0.873367027539393,0.6803501004589293,0.8800000000000002,0.7649313609861838,0
ENVIRONMENTAL,5,PBFT,0.8021155304110577,0.7653938630162954,0.6999999999999998,0.8885191416870544,0
ENVIRONMENTAL,5,PoA,0.8557906803719547,0.7824026155277686,0.9299999999999998,0.7039849433140299,0
ENVIRONMENTAL,5,DPoS,0.7280325943157897,0.8079157442949784,0.8599999999999999,0.7785398092153212,0
ENVIRONMENTAL,6,CDACF,0.8695421487258695,0.68211063769906,0.8774799999999999,0.7365915494051228,1
ENVIRONMENTAL,6,PoW,0.9990491195440393,0.38294832657279365,0.08,0.765587491316565,0
ENVIRONMENTAL,6,PoS,0.8709452273468938,0.6807970250182998,0.8800000000000002,0.7633936063213042,0
ENVIRONMENTAL,6,PBFT,0.8004080621673104,0.7658966531455873,0.6999999999999998,0.886105441126314,0
ENVIRONMENTAL,6,PoA,0.8536513380809725,0.7829165787710448,0.9299999999999998,0.7024159394051227,0
ENVIRONMENTAL,6,DPoS,0.7272762749849038,0.8084464672092311,0.8599999999999999,0.776699361107577,0
ENVIRONMENTAL,7,CDACF,0.8705658599783619,0.6802954799834613,0.8774799999999999,0.7384162268231005,1
ENVIRONMENTAL,7,PoW,0.9992366053133398,0.3819333500248238,0.08,0.7677867304872145,0
