sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,44,1044,PBFT,0.524,14,0.8398882475733421,0.7451316676151241,0.7170954612308028,0.8900652961918816,0.7623442008186375,0.7737195256051372,PoS,0.986,1,0.6931067030395685,0.7453291990389987,0.7177148090286539,0.8905097458862854,0.7613459458240188,0.7760653275250472
0.05,45,1045,PBFT,0.683,7,0.8359122576603738,0.7437658430612171,0.7383943734441325,0.8718629633951587,0.7309102225486449,0.728637620932958,PoS,0.986,1,0.7149507783523561,0.7456961213575956,0.7406237676680217,0.8753541841332242,0.7318366423894848,0.7307361067256402
0.05,46,1046,PoS,0.443,12,0.8209141406672881,0.7594391916170217,0.791963757778902,0.8691182501524437,0.6988310546490799,0.7853552582705711,PoS,0.986,1,0.7693374708807933,0.7551299206952012,0.7895476970539957,0.8643474778125394,0.6931911229865609,0.7830757057399615
0.05,47,1047,PBFT,0.407,13,0.8039649651143602,0.7455666741918464,0.7673913682766709,0.871193912679623,0.6878367675841156,0.7545354682010585,PoS,0.986,1,0.7434753190055262,0.7460696456218834,0.7698621610062767,0.8720405999483264,0.6869163793002581,0.755808512205942
0.05,48,1048,PBFT,0.414,12,0.8086078471219238,0.779197271388291,0.7454445386963887,0.8902643860169752,0.7031466385660435,0.7687459051837442,PoS,0.986,1,0.7210981375261883,0.7807905466655065,0.7471893264801217,0.8926223799001585,0.7031333809459673,0.771686623056859
0.05,49,1049,PBFT,0.497,9,0.8419950605752222,0.8010374992550651,0.7564047038446277,0.8787985344322478,0.695721562919228,0.7731587281068105,PoS,0.986,1,0.7298839941763029,0.8016676754637799,0.7565506805075948,0.8792282215303058,0.6937836286762498,0.7744164462720451
0.05,50,1050,PBFT,0.691,8,0.8743045062698316,0.7289425089306102,0.7769382540445567,0.9010617022680216,0.7000785989188616,0.8152037312241691,PoS,0.986,1,0.7554493656898673,0.7298666896115569,0.7798313632715859,0.90332568278277,0.6998771971748168,0.8177301238663972
0.05,51,1051,PBFT,0.772,6,0.8904154543813929,0.7620287733439577,0.8032360511196203,0.902387412874214,0.6674081135664244,0.7824430643656595,PoS,0.986,1,0.7881213971335523,0.7617260358972057,0.8046945289391308,0.902472484827932,0.6655565155467723,0.7841581855064276
0.05,52,1052,PoS,0.426,13,0.8426074584784837,0.7385132429947696,0.7876994617412152,0.9017479759942522,0.733182551455146,0.7703068466871459,PoS,0.986,1,0.7658748316537185,0.7359772186931739,0.7870596571106981,0.8975707164032067,0.7291981760199039,0.7696808206118487
0.05,53,1053,PBFT,0.705,6,0.842303189173125,0.766999748026462,0.7097891924895035,0.8901117828199145,0.6793557966576398,0.769103101391735,PoS,0.986,1,0.6852518908310674,0.7659445688366117,0.7093169462721435,0.8885224332043969,0.6767549850827513,0.7697654163732639
0.05,54,1054,PoS,0.41,12,0.8507978592068057,0.8049112103561848,0.8164334693360268,0.8836495484266851,0.7438042293799317,0.8184027443795876,PoS,0.986,1,0.8035471956943206,0.805041104931256,0.8163362780015959,0.8829957508364313,0.7407802384429559,0.8182826805286468
0.05,55,1055,PoS,0.493,12,0.815719987244436,0.7938437743021648,0.7840811439848778,0.8609641214647515,0.7135977653942898,0.8184176139584226,PoS,0.986,1,0.7615063558766509,0.7923585966410212,0.7838892689392049,0.8584998501017194,0.7102867527691786,0.8176482345974104
0.05,56,1056,PBFT,0.418,13,0.8268066225612597,0.7526002153237532,0.7819686799456751,0.8819094417150096,0.7229289882480369,0.7988810729949465,PoS,0.986,1,0.7576912879754357,0.7489051593840477,0.780333870739951,0.8783171307458181,0.7177435994762648,0.7969154533786651
0.05,57,1057,PBFT,0.574,11,0.8381924065971241,0.6961538196498968,0.7163510297375699,0.8864142573459703,0.7135029700975866,0.752693204761061,PoS,0.986,1,0.6912509474388147,0.6947978568097046,0.71579208730758,0.8853911000988413,0.7108766147891041,0.7523635431767393
0.05,58,1058,PoS,0.429,12,0.767522139808259,0.7666411314602312,0.7385723809129245,0.8731456712161946,0.7194999092134716,0.7734103324245929,PoS,0.986,1,0.7146062666017704,0.7678787170542433,0.7401667403695167,0.8745424722698363,0.7192204318501101,0.7763093343825584
0.05,59,1059,PoS,0.488,10,0.8057609809060234,0.7785443728565711,0.7848626418680428,0.8829334726467971,0.7554845802721631,0.7829608878298899,PoS,0.986,1,0.7577078752833322,0.7711242839101913,0.7798216772050862,0.8737805664841914,0.746061273068807,0.7780132706046717
0.05,60,1060,PBFT,0.69,8,0.86406374060468,0.8067415530116537,0.7530997248263377,0.9006623541757012,0.6496930566557348,0.7925713840082571,PoS,0.986,1,0.7289865823353917,0.8108211045772911,0.7555707513537545,0.9035329960767958,0.6499912328430206,0.7963914252326749
0.05,61,1061,PBFT,0.5,11,0.7855908683442938,0.7190383131119706,0.7289468560633504,0.8655633377846745,0.7659791583555917,0.7431995903801049,PoS,0.986,1,0.7035465682682015,0.7181395354020951,0.7287495747231816,0.8645213680553938,0.7637652903310157,0.74309459424622
0.05,62,1062,PBFT,0.547,10,0.8684590157341743,0.7303013011156598,0.7928242793324232,0.8890777787054104,0.6990096955088498,0.7651557858516896,PoS,0.986,1,0.7774503053463298,0.7323847847981693,0.7968236349931836,0.8925773355991689,0.6998099522396624,0.768689801011726
0.05,63,1063,PBFT,0.439,9,0.8225011104914587,0.7222870728723016,0.7640161209734245,0.9023121307097882,0.6869990573666167,0.8021585370589607,PoS,0.986,1,0.7400402137904136,0.7240060676663925,0.7669676300918824,0.9054232263808996,0.6874591019688989,0.8058803944780075
0.05,64,1064,PBFT,0.505,9,0.8386299575156535,0.7864826560216404,0.8047348415879079,0.8731469942838579,0.6946051604935812,0.7990394090536833,PoS,0.986,1,0.7929682211484065,0.7895737448736844,0.8087375634388408,0.8769571363424188,0.695651282115114,0.8030587894476614
0.05,65,1065,PBFT,0.484,12,0.8584021874944547,0.7699037592704142,0.771547362216357,0.8867768384307232,0.6893332202654548,0.8496722143989547,PoS,0.986,1,0.7490257348006082,0.7714009689201642,0.7747798881419198,0.8895344096604954,0.689192124415349,0.8524226043209905
0.05,66,1066,PBFT,0.504,14,0.8380765864803493,0.7454856447586775,0.7568450294445856,0.8767212542297748,0.7288618412422677,0.7803894955243281,PoS,0.986,1,0.728393303332757,0.7427079580408076,0.755032090815684,0.8740929389595513,0.7246992037090604,0.7797390227076022
0.05,67,1067,PBFT,0.518,13,0.8670555719383939,0.804275895336948,0.7937230466004532,0.8859230027560606,0.6564442111959723,0.7897008581251803,PoS,0.986,1,0.7773841327841402,0.8072777158756981,0.796642833654356,0.8885731331917546,0.6560434912832103,0.7926217063604258
0.05,68,1068,PoA,0.414,11,0.7931221734661547,0.8150751322037175,0.774951949387652,0.8720494276239804,0.747666832515389,0.7523014938578064,PoS,0.986,1,0.7539387742902618,0.818801353373363,0.7784851331090646,0.874766083769798,0.7484228568698463,0.7544873612027891
0.05,69,1069,PBFT,0.508,10,0.7859140707121779,0.7964898288157369,0.7494712730462559,0.8059791969231421,0.7049617608632839,0.7799834895930907,PoS,0.986,1,0.7245693880101298,0.7986181714554915,0.7508076612251484,0.8081510286102199,0.7044777461777009,0.7828497827504807
0.05,70,1070,PoS,0.478,9,0.7662700111439538,0.716469961947608,0.763035356545864,0.8810359729459162,0.6634276575870981,0.7827452646467801,PoS,0.986,1,0.7364661698688878,0.7153237401513995,0.7633748303021708,0.8806699635054506,0.6610666209613324,0.783898800798534
0.05,71,1071,PBFT,0.696,8,0.866952027253351,0.7283223414396846,0.7558603314327694,0.9024612892954004,0.6487041534916208,0.7841200604372464,PoS,0.986,1,0.7306436315350233,0.7290234810967622,0.7572615712383701,0.9040015181541556,0.6480886780972923,0.7866975383221538
